region_acronym,M145,M146,M149
PRC,0.0,0.0,0.0
PRE,0.0,0.0,0.0
PRM,0.0,0.0,0.0
PRNc,0.0,0.0,0.0
PRNr,0.0,0.0,0.0
PRNv,0.0,0.0,0.0
PRP,0.0,0.0,0.0
PRT,0.0,0.0,0.0
PS,0.0,0.0,0.0
PSCH,0.0,0.0,0.0
PST,0.0,0.0,0.0
PSTN,0.0,0.0,0.0
PSV,0.0,0.0,0.0
PT,0.0,0.0,0.0
PTLp,0.0,0.0,0.0
PVH,0.0,0.0,0.0
PVHam,0.0,0.0,0.0
PVHap,0.0,0.0,0.0
PVHd,0.0,2.1972245773362196,0.0
PVHdp,0.0,0.0,0.0
PVHf,0.0,0.0,0.0
PVHlp,0.0,0.0,0.0
PVHm,0.0,0.0,0.0
PVHmm,0.0,0.0,0.0
PVHmpd,0.0,0.0,0.0
PVHmpv,0.0,0.0,0.0
PVHp,0.0,0.0,0.0
PVHpm,0.0,0.0,0.0
PVHpml,0.0,0.0,0.0
PVHpmm,0.0,0.0,0.0
PVHpv,0.0,0.0,0.0
PVR,0.0,0.0,0.0
PVT,0.0,0.0,0.0
PVZ,0.0,0.0,0.0
PVa,0.0,0.0,0.0
PVi,0.0,0.0,0.0
PVp,0.0,0.0,0.0
PVpo,0.0,0.0,0.0
PYR,0.0,0.0,0.0
Pa4,0.0,0.0,0.0
Pa5,0.0,0.0,0.0
PeF,0.6931471805599453,2.0794415416798357,0.0
PoT,0.0,0.0,0.0
ProS,3.5553480614894135,0.6931471805599453,0.0
ProSd,0.0,0.0,0.0
ProSd-sr,0.0,0.0,0.0
ProSv,0.0,0.0,0.0
Prosv-sr,0.0,0.0,0.0
RAmb,0.0,0.0,0.0
RC,0.0,0.0,0.0
RCH,0.6931471805599453,0.0,0.0
RE,0.0,1.3862943611198906,0.0
REth,0.0,0.0,0.0
RH,0.0,0.0,0.0
RHP,0.0,0.0,0.0
RL,0.0,0.0,0.0
RM,0.0,0.0,0.0
RN,0.0,0.0,0.0
RO,0.0,0.0,0.0
RPA,0.0,0.0,0.0
RPF,0.0,0.0,0.0
RPO,0.0,0.0,0.0
RR,0.0,0.0,0.0
RSP,0.0,0.0,0.0
RSPagl,4.574710978503383,3.5263605246161616,5.214935757608986
RSPd,4.204692619390966,3.912023005428146,5.117993812416755
RSPv,5.030437921392435,4.406719247264253,3.2188758248682006
RT,2.6390573296152584,3.4339872044851463,0.0
SAG,0.0,0.0,0.0
SBPV,0.0,0.0,0.0
SCH,0.0,0.0,0.0
SCO,0.0,0.0,0.0
SCig,0.0,0.0,0.0
SCm,0.0,0.0,0.6931471805599453
SCs,0.0,0.0,4.174387269895637
SEZ,0.0,0.0,0.0
SF,0.0,0.0,0.0
SFO,0.0,0.0,0.0
SG,0.0,0.0,0.0
SGN,0.0,0.0,0.0
SH,0.0,0.0,1.6094379124341003
SI,0.0,3.784189633918261,0.6931471805599453
SIM,0.0,0.0,0.0
SLC,0.0,0.0,0.0
SLD,0.0,0.0,0.0
SMT,0.0,0.6931471805599453,0.0
SNc,0.0,0.0,0.0
SNl,0.0,0.0,0.0
SNr,0.0,0.0,0.0
SO,0.0,1.3862943611198906,0.0
SOC,0.0,0.0,0.0
SOCl,0.0,0.0,0.0
SOCm,0.0,0.0,0.0
SPA,0.0,0.0,0.0
SPF,0.0,0.0,0.0
SPFm,0.0,0.0,0.0
SPFp,0.0,0.0,0.0
SPIV,0.0,0.0,0.0
SPVC,0.0,0.0,0.0
SPVI,0.0,0.0,0.0
SPVO,0.0,0.0,0.0
SPVOcdm,0.0,0.0,0.0
SPVOmdmd,0.0,0.0,0.0
SPVOmdmv,0.0,0.0,0.0
SPVOrdm,0.0,0.0,0.0
SPVOvl,0.0,0.0,0.0
SS,0.0,0.0,0.0
SSN,0.0,0.0,0.0
SSp,0.0,0.0,0.0
SSp-bfd,0.0,1.0986122886681098,0.6931471805599453
SSp-ll,0.0,0.0,1.0986122886681098
SSp-m,0.0,0.0,1.3862943611198906
SSp-n,0.0,0.0,1.6094379124341003
SSp-tr,0.0,0.0,0.0
SSp-ul,0.0,0.0,0.6931471805599453
SSp-un,0.0,0.0,0.0
SSs,1.3862943611198906,0.6931471805599453,1.0986122886681098
STN,0.0,0.0,0.0
STR,2.1972245773362196,3.1780538303479458,0.6931471805599453
STRd,0.0,0.0,0.0
STRv,0.0,0.0,0.0
SUB,4.23410650459726,1.791759469228055,0.6931471805599453
SUBd,0.0,0.0,0.0
SUBd-sr,0.0,0.0,0.0
SUBv,0.0,0.0,0.0
SUBv-sr,0.0,0.0,0.0
SUM,0.0,0.0,0.0
SUMl,0.0,0.0,0.0
SUMm,0.0,0.0,0.0
SUT,0.0,0.0,0.0
SUV,0.0,0.0,0.0
Su3,0.0,0.0,0.0
SubG,0.0,0.0,0.0
TEa,2.0794415416798357,1.791759469228055,0.6931471805599453
TH,1.3862943611198906,1.791759469228055,0.0
TM,0.0,0.0,0.0
TMd,0.0,0.0,0.0
TMv,0.0,0.0,0.0
TR,0.0,0.6931471805599453,0.0
TRN,0.0,0.0,0.0
TRS,0.0,0.0,0.0
TT,0.0,0.0,0.0
TTd,0.0,0.0,0.0
TTv,0.0,0.0,0.0
TU,0.0,2.3978952727983707,0.0
UVU,0.0,0.0,0.0
V,0.0,0.0,0.0
V3,0.6931471805599453,0.0,0.6931471805599453
V4,0.0,0.0,0.0
V4r,0.0,0.0,0.0
VAL,0.0,1.0986122886681098,0.0
VCO,0.0,0.0,0.0
VENT,0.0,0.0,0.0
VERM,0.0,0.0,0.0
VI,0.0,0.0,0.0
VII,0.0,0.0,0.0
VIIIn,0.0,0.0,0.0
VIIn,0.0,0.0,0.0
VIS,0.0,0.0,0.0
VISC,0.0,0.6931471805599453,0.0
VISa,2.3978952727983707,0.0,0.6931471805599453
VISal,3.044522437723423,0.0,0.0
VISam,4.983606621708336,1.6094379124341003,0.0
VISl,4.060443010546419,3.6375861597263857,1.3862943611198906
VISli,2.772588722239781,2.70805020110221,0.0
VISlla,0.0,0.0,0.0
VISm,0.0,0.0,0.0
VISmma,0.0,0.0,0.0
VISmmp,0.0,0.0,0.0
VISp,7.59337419312129,6.767343125265392,5.602118820879701
VISpl,2.6390573296152584,0.6931471805599453,1.6094379124341003
VISpm,6.023447592961033,4.31748811353631,2.995732273553991
VISpor,2.772588722239781,2.302585092994046,0.0
VISrl,2.8903717578961645,1.9459101490553132,0.0
VISrll,0.0,0.0,0.0
VIn,0.0,0.0,0.0
VL,0.0,1.6094379124341003,0.0
VLPO,0.0,0.0,0.0
VM,0.0,2.4849066497880004,0.0
VMH,0.0,0.6931471805599453,0.0
VMHa,0.0,0.0,0.0
VMHc,0.0,0.0,0.0
VMHdm,0.0,0.0,0.0
VMHvl,0.0,0.0,0.0
VMPO,0.0,0.0,0.0
VNC,0.0,0.0,0.0
VP,0.0,0.0,0.0
VPL,2.302585092994046,1.3862943611198906,0.0
VPLpc,0.0,0.0,0.0
VPM,2.0794415416798357,1.3862943611198906,0.0
VPMpc,0.0,0.0,0.0
VS,0.0,0.0,0.0
VTA,0.0,0.0,0.0
VTN,0.0,0.0,0.0
VeCB,0.0,0.0,0.0
Vn,0.0,0.0,0.0
XII,0.0,0.0,0.0
XIIn,0.0,0.0,0.0
XIn,0.0,0.0,0.0
Xi,0.0,0.0,0.0
Xn,0.0,0.0,0.0
ZI,1.0986122886681098,2.5649493574615367,0.0
ab,0.0,0.0,0.0
aco,0.0,0.0,0.6931471805599453
act,0.0,0.6931471805599453,0.0
alv,4.0943445622221,2.8903717578961645,1.6094379124341003
amc,0.0,1.9459101490553132,0.0
aolt,0.0,0.0,0.0
aot,0.0,0.0,0.0
apd,0.0,0.0,0.0
apf,0.0,0.0,0.0
ar,1.9459101490553132,0.6931471805599453,0.0
arb,0.0,0.0,0.0
bct,0.0,0.0,0.0
bic,0.0,0.0,0.0
bsc,1.0986122886681098,1.791759469228055,0.6931471805599453
c,0.0,0.0,0.0
cVIIIn,0.0,0.0,0.0
cbc,0.0,0.0,0.0
cbf,0.0,0.0,0.0
cbp,0.0,0.0,0.0
cbt,0.0,0.0,0.0
cc,0.0,0.0,0.0
ccb,0.0,1.3862943611198906,1.0986122886681098
ccg,0.0,0.0,1.0986122886681098
ccr,0.0,0.0,0.0
ccs,2.1972245773362196,0.0,2.1972245773362196
cct,0.0,0.0,0.0
cett,0.0,0.0,0.0
chfl,0.0,0.0,0.0
chpl,0.6931471805599453,1.6094379124341003,0.6931471805599453
cic,0.0,0.0,0.0
cing,4.30406509320417,2.0794415416798357,0.6931471805599453
cm,0.0,0.0,0.0
cpd,0.0,0.0,0.0
cpt,0.0,0.0,0.0
crt,0.0,0.0,0.0
csc,0.0,0.0,0.0
cst,0.0,0.0,0.0
cstc,0.0,0.0,0.0
cstu,0.0,0.0,0.0
ctb,0.0,0.0,0.0
cte,0.0,0.0,0.0
cuf,0.0,0.0,0.0
cvb,0.0,0.0,0.0
das,0.0,0.0,0.0
db,0.0,0.0,0.0
dc,0.0,0.0,0.0
dcm,0.0,0.0,0.0
df,0.0,0.0,0.0
dhc,4.770684624465665,3.4339872044851463,1.3862943611198906
dl,0.0,0.0,0.0
dlf,0.0,0.0,0.0
drt,0.0,0.0,0.0
dscp,0.0,0.0,0.0
dtd,0.0,0.0,0.0
dtt,0.0,0.0,0.0
ec,2.772588722239781,2.8903717578961645,1.3862943611198906
ee,0.0,0.0,0.0
eg,0.0,0.0,0.0
em,0.0,0.0,0.0
eps,0.0,0.0,0.0
epsc,0.0,0.0,0.0
fa,0.0,0.0,0.0
fi,0.6931471805599453,2.9444389791664403,0.6931471805599453
fiber tracts,2.8903717578961645,3.4011973816621555,0.6931471805599453
fp,5.488937726156687,4.330733340286331,1.791759469228055
fpr,0.0,0.0,0.0
fr,0.0,0.0,0.0
fx,0.0,1.6094379124341003,0.0
fxpo,0.0,0.0,0.0
fxprg,0.0,0.0,0.0
fxs,0.0,0.0,0.0
gVIIn,0.0,0.0,0.0
grey,0.0,0.0,0.0
grf,0.0,0.0,0.0
grv,0.0,0.0,0.0
grv of CBX,0.0,0.0,0.0
grv of CTX,0.0,0.0,0.0
hbc,0.0,0.0,0.0
hc,0.0,0.0,0.0
hf,0.0,0.0,0.0
hht,0.0,0.0,0.0
iVIIn,0.0,0.0,0.0
iaf,0.0,0.0,0.0
ias,0.0,0.0,0.0
icf,0.0,0.0,0.0
icp,0.0,0.0,0.0
im,0.0,0.0,0.0
int,2.995732273553991,2.833213344056216,0.0
ipf,0.0,0.0,0.0
isl,0.0,0.0,0.0
islm,0.0,0.0,0.0
jrb,0.0,0.0,0.0
lab,0.0,0.0,0.0
lfbs,0.0,0.0,0.0
lfbst,0.0,0.0,0.0
ll,0.0,0.0,0.0
lot,0.0,0.0,0.6931471805599453
lotd,0.0,0.0,0.0
lotg,0.0,0.0,0.0
mcp,0.0,0.0,0.0
mct,0.0,0.0,0.0
mfb,0.0,0.0,1.0986122886681098
mfbc,0.0,0.0,0.0
mfbs,0.0,0.0,0.0
mfbse,0.0,0.0,0.0
mfbsm,0.0,0.0,0.0
mfbsma,0.0,0.0,0.0
mfbst,0.0,0.0,0.0
mfsbshy,0.0,0.0,0.0
ml,0.0,0.0,0.0
mlf,0.0,0.0,0.0
moV,0.0,0.0,0.0
mp,0.0,0.0,0.0
mtV,0.0,0.0,0.0
mtc,0.0,0.0,0.0
mtg,0.0,0.0,0.0
mtt,0.0,0.6931471805599453,0.0
nf,0.0,0.0,0.0
nst,0.0,0.6931471805599453,0.0
ntt,0.0,0.0,0.0
och,0.0,0.0,0.0
oct,0.0,0.0,0.0
opt,0.0,2.302585092994046,0.0
or,1.0986122886681098,0.6931471805599453,0.0
pap,0.0,0.0,0.0
pc,0.0,0.0,0.0
pce,0.0,0.0,0.0
pcf,0.0,0.0,0.0
per,0.0,0.0,0.0
pfs,0.0,0.0,0.0
php,0.0,0.0,0.0
phpd,0.0,0.0,0.0
phpl,0.0,0.0,0.0
phpm,0.0,0.0,0.0
phpv,0.0,0.0,0.0
plf,0.0,0.0,0.0
pm,0.0,0.0,0.0
pms,0.0,0.0,0.0
pmx,0.0,0.0,0.0
poc,0.0,0.0,0.0
ppf,0.0,0.0,0.0
pri,0.0,0.0,0.0
psf,0.0,0.0,0.0
ptf,0.0,0.0,0.0
pvbh,0.0,0.0,0.0
pvbt,0.0,0.0,0.0
py,0.0,0.0,0.0
pyd,0.0,0.0,0.0
rct,0.0,0.0,0.0
retina,0.0,0.0,0.0
rf,0.0,0.0,0.0
ri,0.0,0.0,0.0
root,1.3862943611198906,2.0794415416798357,2.1972245773362196
rrt,0.0,0.0,0.0
rst,0.0,0.0,0.0
rstl,0.0,0.0,0.0
rstm,0.0,0.0,0.0
rust,0.0,0.0,0.0
sAMY,0.0,0.0,0.0
sV,0.0,0.0,0.0
scp,0.0,0.0,0.0
scrt,0.0,0.0,0.0
sct,0.0,0.0,0.0
sctd,0.0,0.0,0.0
sctv,0.0,0.0,0.0
scwm,4.976733742420574,3.4339872044851463,1.3862943611198906
sec,0.0,0.0,0.0
shp,0.0,0.0,0.0
sif,0.0,0.0,0.0
sm,0.0,1.0986122886681098,0.0
smd,0.0,0.0,0.0
snp,0.0,0.0,0.0
sop,0.0,0.0,0.0
sptV,0.0,0.0,0.0
srp,0.0,0.0,0.0
sst,0.0,0.0,0.0
st,0.6931471805599453,0.6931471805599453,0.0
stc,0.0,1.0986122886681098,0.0
step,0.0,0.0,0.0
stf,0.0,0.0,0.0
stp,0.0,0.0,0.0
sttl,0.0,0.0,0.0
sttv,0.0,0.0,0.0
sup,0.0,0.0,0.0
supa,0.0,0.0,0.0
supd,0.0,0.0,0.0
supv,0.0,0.0,0.0
svp,0.0,0.0,0.0
tb,0.0,0.0,0.0
tct,0.0,0.0,0.0
tn,0.0,0.0,0.0
tp,0.0,0.0,0.0
ts,0.0,0.0,0.0
tsp,0.0,0.0,0.0
tspc,0.0,0.0,0.0
tspd,0.0,0.0,0.0
ttp,0.0,0.0,0.0
uf,0.0,0.0,0.0
vVIIIn,0.0,0.0,0.0
vc,0.0,0.0,0.0
vhc,0.0,1.0986122886681098,0.0
vlt,0.0,0.0,0.0
von,0.0,0.0,0.0
vrt,0.0,0.0,0.0
vsp,0.0,0.0,0.0
vtd,0.0,0.0,0.0
x,0.0,0.0,0.0
y,0.0,0.0,0.0
z,0.0,0.0,0.0
