Totals,,Count,,
PGRNl,"Paragigantocellular reticular nucleus, lateral part",0,0,0
PH,Posterior hypothalamic nucleus,0,0,0
PHY,Perihypoglossal nuclei,0,0,0
PIL,Posterior intralaminar thalamic nucleus,0,0,0
PIN,Pineal body,0,0,0
PIR,Piriform area,1,77,1
PIS,pineal stalk,0,0,0
PL,Prelimbic area,0,0,0
PMR,Paramedian reticular nucleus,0,0,0
PMd,Dorsal premammillary nucleus,0,0,0
PMv,Ventral premammillary nucleus,0,0,0
PN,Paranigral nucleus,0,0,0
PO,Posterior complex of the thalamus,3,0,0
POL,Posterior limiting nucleus of the thalamus,1,0,0
POR,"Superior olivary complex, periolivary region",0,0,0
POST,Postsubiculum,2,11,3
PP,Peripeduncular nucleus,0,0,0
PPN,Pedunculopontine nucleus,0,0,0
PPT,Posterior pretectal nucleus,0,0,0
PPY,Parapyramidal nucleus,0,0,0
PPYd,"Parapyramidal nucleus, deep part",0,0,0
PPYs,"Parapyramidal nucleus, superficial part",0,0,0
PR,Perireunensis nucleus,0,4,0
PRC,Precommissural nucleus,0,0,0
PRE,Presubiculum,0,0,0
PRM,Paramedian lobule,0,0,0
PRNc,"Pontine reticular nucleus, caudal part",0,0,0
PRNr,Pontine reticular nucleus,0,0,0
PRNv,"Pontine reticular nucleus, ventral part",0,0,0
PRP,Nucleus prepositus,0,0,0
PRT,Pretectal region,0,0,0
PS,Parastrial nucleus,0,0,0
PSCH,Suprachiasmatic preoptic nucleus,0,0,0
PST,Preparasubthalamic nucleus,0,0,0
PSTN,Parasubthalamic nucleus,0,0,0
PSV,Principal sensory nucleus of the trigeminal,0,0,0
PT,Parataenial nucleus,0,0,0
PTLp,Posterior parietal association areas,0,0,0
PVH,Paraventricular hypothalamic nucleus,0,0,0
PVHam,"Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part",0,0,0
PVHap,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",0,0,0
PVHd,"Paraventricular hypothalamic nucleus, descending division",0,8,0
PVHdp,"Paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part",0,0,0
PVHf,"Paraventricular hypothalamic nucleus, descending division, forniceal part",0,0,0
PVHlp,"Paraventricular hypothalamic nucleus, descending division, lateral parvicellular part",0,0,0
PVHm,"Paraventricular hypothalamic nucleus, magnocellular division",0,0,0
PVHmm,"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part",0,0,0
PVHmpd,"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone",0,0,0
PVHmpv,"Paraventricular hypothalamic nucleus, descending division, medial parvicellular part, ventral zone",0,0,0
PVHp,"Paraventricular hypothalamic nucleus, parvicellular division",0,0,0
PVHpm,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part",0,0,0
PVHpml,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone",0,0,0
PVHpmm,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone",0,0,0
PVHpv,"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part",0,0,0
PVR,Periventricular region,0,0,0
PVT,Paraventricular nucleus of the thalamus,0,0,0
PVZ,Periventricular zone,0,0,0
PVa,"Periventricular hypothalamic nucleus, anterior part",0,0,0
PVi,"Periventricular hypothalamic nucleus, intermediate part",0,0,0
PVp,"Periventricular hypothalamic nucleus, posterior part",0,0,0
PVpo,"Periventricular hypothalamic nucleus, preoptic part",0,0,0
PYR,Pyramus (VIII),0,0,0
Pa4,Paratrochlear nucleus,0,0,0
Pa5,Paratrigeminal nucleus,0,0,0
PeF,Perifornical nucleus,1,7,0
PoT,Posterior triangular thalamic nucleus,0,0,0
ProS,Prosubiculum,34,1,0
ProSd,"Prosubiculum, dorsal part",0,0,0
ProSd-sr,"Prosubiculum, dorsal part, stratum radiatum",0,0,0
ProSv,"Prosubiculum, ventral part",0,0,0
Prosv-sr,"Prosubiculum, ventral part, stratum radiatum",0,0,0
RAmb,Midbrain raphe nuclei,0,0,0
RC,rhinocele,0,0,0
RCH,Retrochiasmatic area,1,0,0
RE,Nucleus of reuniens,0,3,0
REth,Retroethmoid nucleus,0,0,0
RH,Rhomboid nucleus,0,0,0
RHP,Retrohippocampal region,0,0,0
RL,Rostral linear nucleus raphe,0,0,0
RM,Nucleus raphe magnus,0,0,0
RN,Red nucleus,0,0,0
RO,Nucleus raphe obscurus,0,0,0
RPA,Nucleus raphe pallidus,0,0,0
RPF,Retroparafascicular nucleus,0,0,0
RPO,Nucleus raphe pontis,0,0,0
RR,"Midbrain reticular nucleus, retrorubral area",0,0,0
RSP,Retrosplenial area,0,0,0
RSPagl,"Retrosplenial area, lateral agranular part",96,33,183
RSPd,"Retrosplenial area, dorsal part",66,49,166
RSPv,"Retrosplenial area, ventral part",152,81,24
RT,Reticular nucleus of the thalamus,13,30,0
SAG,Nucleus sagulum,0,0,0
SBPV,Subparaventricular zone,0,0,0
SCH,Suprachiasmatic nucleus,0,0,0
SCO,Subcommissural organ,0,0,0
SCig,"Superior colliculus, motor related, intermediate gray layer",0,0,0
SCm,"Superior colliculus, motor related",0,0,1
SCs,"Superior colliculus, sensory related",0,0,64
SEZ,subependymal zone,0,0,0
SF,Septofimbrial nucleus,0,0,0
SFO,Subfornical organ,0,0,0
SG,Supragenual nucleus,0,0,0
SGN,Suprageniculate nucleus,0,0,0
SH,Septohippocampal nucleus,0,0,4
SI,Substantia innominata,0,43,1
SIM,Simple lobule,0,0,0
SLC,Subceruleus nucleus,0,0,0
SLD,Sublaterodorsal nucleus,0,0,0
SMT,Submedial nucleus of the thalamus,0,1,0
SNc,"Substantia nigra, compact part",0,0,0
SNl,"Substantia nigra, lateral part",0,0,0
SNr,"Substantia nigra, reticular part",0,0,0
SO,Supraoptic nucleus,0,3,0
SOC,Superior olivary complex,0,0,0
SOCl,"Superior olivary complex, lateral part",0,0,0
SOCm,"Superior olivary complex, medial part",0,0,0
SPA,Subparafascicular area,0,0,0
SPF,Subparafascicular nucleus,0,0,0
SPFm,"Subparafascicular nucleus, magnocellular part",0,0,0
SPFp,"Subparafascicular nucleus, parvicellular part",0,0,0
SPIV,Spinal vestibular nucleus,0,0,0
SPVC,"Spinal nucleus of the trigeminal, caudal part",0,0,0
SPVI,"Spinal nucleus of the trigeminal, interpolar part",0,0,0
SPVO,"Spinal nucleus of the trigeminal, oral part",0,0,0
SPVOcdm,"Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part",0,0,0
SPVOmdmd,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone",0,0,0
SPVOmdmv,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone",0,0,0
SPVOrdm,"Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part",0,0,0
SPVOvl,"Spinal nucleus of the trigeminal, oral part, ventrolateral part",0,0,0
SS,Somatosensory areas,0,0,0
SSN,Superior salivatory nucleus,0,0,0
SSp,Primary somatosensory area,0,0,0
SSp-bfd,"Primary somatosensory area, barrel field",0,2,1
SSp-ll,"Primary somatosensory area, lower limb",0,0,2
SSp-m,"Primary somatosensory area, mouth",0,0,3
SSp-n,"Primary somatosensory area, nose",0,0,4
SSp-tr,"Primary somatosensory area, trunk",0,0,0
SSp-ul,"Primary somatosensory area, upper limb",0,0,1
SSp-un,"Primary somatosensory area, unassigned",0,0,0
SSs,Supplemental somatosensory area,3,1,2
STN,Subthalamic nucleus,0,0,0
STR,Striatum,8,23,1
STRd,Striatum dorsal region,0,0,0
STRv,Striatum ventral region,0,0,0
SUB,Subiculum,68,5,1
SUBd,"Subiculum, dorsal part",0,0,0
SUBd-sr,"Subiculum, dorsal part, stratum radiatum",0,0,0
SUBv,"Subiculum, ventral part",0,0,0
SUBv-sr,"Subiculum, ventral part, stratum radiatum",0,0,0
SUM,Supramammillary nucleus,0,0,0
SUMl,"Supramammillary nucleus, lateral part",0,0,0
SUMm,"Supramammillary nucleus, medial part",0,0,0
SUT,Supratrigeminal nucleus,0,0,0
SUV,Superior vestibular nucleus,0,0,0
Su3,Supraoculomotor periaqueductal gray,0,0,0
SubG,Subgeniculate nucleus,0,0,0
TEa,Temporal association areas,7,5,1
TH,Thalamus,3,5,0
TM,Tuberomammillary nucleus,0,0,0
TMd,"Tuberomammillary nucleus, dorsal part",0,0,0
TMv,"Tuberomammillary nucleus, ventral part",0,0,0
TR,Postpiriform transition area,0,1,0
TRN,Tegmental reticular nucleus,0,0,0
TRS,Triangular nucleus of septum,0,0,0
TT,Taenia tecta,0,0,0
TTd,"Taenia tecta, dorsal part",0,0,0
TTv,"Taenia tecta, ventral part",0,0,0
TU,Tuberal nucleus,0,10,0
UVU,Uvula (IX),0,0,0
V,Motor nucleus of trigeminal,0,0,0
V3,third ventricle,1,0,1
V4,fourth ventricle,0,0,0
V4r,lateral recess,0,0,0
VAL,Ventral anterior-lateral complex of the thalamus,0,2,0
VCO,Ventral cochlear nucleus,0,0,0
VENT,Ventral group of the dorsal thalamus,0,0,0
VERM,Vermal regions,0,0,0
VI,Abducens nucleus,0,0,0
VII,Facial motor nucleus,0,0,0
VIIIn,vestibulocochlear nerve,0,0,0
VIIn,facial nerve,0,0,0
VIS,Visual areas,0,0,0
VISC,Visceral area,0,1,0
VISa,Anterior area,10,0,1
VISal,Anterolateral visual area,20,0,0
VISam,Anteromedial visual area,145,4,0
VISl,Lateral visual area,57,37,3
VISli,Laterointermediate area,15,14,0
VISlla,Laterolateral anterior visual area,0,0,0
VISm,Medial visual area,0,0,0
VISmma,Mediomedial anterior visual area,0,0,0
VISmmp,Mediomedial posterior visual area,0,0,0
VISp,Primary visual area,1984,868,270
VISpl,Posterolateral visual area,13,1,4
VISpm,posteromedial visual area,412,74,19
VISpor,Postrhinal area,15,9,0
VISrl,Rostrolateral visual area,17,6,0
VISrll,Rostrolateral lateral visual area,0,0,0
VIn,abducens nerve,0,0,0
VL,lateral ventricle,0,4,0
VLPO,Ventrolateral preoptic nucleus,0,0,0
VM,Ventral medial nucleus of the thalamus,0,11,0
VMH,Ventromedial hypothalamic nucleus,0,1,0
VMHa,"Ventromedial hypothalamic nucleus, anterior part",0,0,0
VMHc,"Ventromedial hypothalamic nucleus, central part",0,0,0
VMHdm,"Ventromedial hypothalamic nucleus, dorsomedial part",0,0,0
VMHvl,"Ventromedial hypothalamic nucleus, ventrolateral part",0,0,0
VMPO,Ventromedial preoptic nucleus,0,0,0
VNC,Vestibular nuclei,0,0,0
VP,Ventral posterior complex of the thalamus,0,0,0
VPL,Ventral posterolateral nucleus of the thalamus,9,3,0
VPLpc,"Ventral posterolateral nucleus of the thalamus, parvicellular part",0,0,0
VPM,Ventral posteromedial nucleus of the thalamus,7,3,0
VPMpc,"Ventral posteromedial nucleus of the thalamus, parvicellular part",0,0,0
VS,ventricular systems,0,0,0
VTA,Ventral tegmental area,0,0,0
VTN,Ventral tegmental nucleus,0,0,0
VeCB,Vestibulocerebellar nucleus,0,0,0
Vn,trigeminal nerve,0,0,0
XII,Hypoglossal nucleus,0,0,0
XIIn,hypoglossal nerve,0,0,0
XIn,accessory spinal nerve,0,0,0
Xi,Xiphoid thalamic nucleus,0,0,0
Xn,vagus nerve,0,0,0
ZI,Zona incerta,2,12,0
ab,angular path,0,0,0
aco,"anterior commissure, olfactory limb",0,0,1
act,"anterior commissure, temporal limb",0,1,0
alv,alveus,59,17,4
amc,amygdalar capsule,0,6,0
aolt,accessory olfactory tract,0,0,0
aot,accessory optic tract,0,0,0
apd,ansa peduncularis,0,0,0
apf,ansoparamedian fissure,0,0,0
ar,auditory radiation,6,1,0
arb,arbor vitae,0,0,0
bct,bulbocerebellar tract,0,0,0
bic,brachium of the inferior colliculus,0,0,0
bsc,brachium of the superior colliculus,2,5,1
c,"central canal, spinal cord/medulla",0,0,0
cVIIIn,cochlear nerve,0,0,0
cbc,cerebellar commissure,0,0,0
cbf,cerebellum related fiber tracts,0,0,0
cbp,cerebellar peduncles,0,0,0
cbt,corticobulbar tract,0,0,0
cc,corpus callosum,0,0,0
ccb,"corpus callosum, body",0,3,2
ccg,genu of corpus callosum,0,0,2
ccr,"corpus callosum, rostrum",0,0,0
ccs,"corpus callosum, splenium",8,0,8
cct,cuneocerebellar tract,0,0,0
cett,cervicothalamic tract,0,0,0
chfl,choroid fissure,0,0,0
chpl,choroid plexus,1,4,1
cic,inferior colliculus commissure,0,0,0
cing,cingulum bundle,73,7,1
cm,cranial nerves,0,0,0
cpd,cerebal peduncle,0,0,0
cpt,corticopontine tract,0,0,0
crt,corticorubral tract,0,0,0
csc,superior colliculus commissure,0,0,0
cst,corticospinal tract,0,0,0
cstc,"corticospinal tract, crossed",0,0,0
cstu,"corticospinal tract, uncrossed",0,0,0
ctb,central tegmental bundle,0,0,0
cte,corticotectal tract,0,0,0
cuf,cuneate fascicle,0,0,0
cvb,efferent cochleovestibular bundle,0,0,0
das,dorsal acoustic stria,0,0,0
db,precommissural fornix diagonal band,0,0,0
dc,dorsal column,0,0,0
dcm,dorsal commissure of the spinal cord,0,0,0
df,dorsal fornix,0,0,0
dhc,dorsal hippocampal commissure,117,30,3
dl,dorsolateral fascicle,0,0,0
dlf,dorsal longitudinal fascicle,0,0,0
drt,dorsal roots,0,0,0
dscp,superior cerebellar peduncle decussation,0,0,0
dtd,doral tegmental decussation,0,0,0
dtt,dorsal tegmental tract,0,0,0
ec,external capsule,15,17,3
ee,"corpus callosum, extreme capsule",0,0,0
eg,endorhinal groove,0,0,0
em,external medullary lamina of the thalamus,0,0,0
eps,extrapyramidal fiber systems,0,0,0
epsc,cerebral nuclei related,0,0,0
fa,"corpus callosum, anterior forceps",0,0,0
fi,fimbria,1,18,1
fiber tracts,fiber tracts,17,29,1
fp,"corpus callosum, posterior forceps",241,75,5
fpr,fasciculus proprius,0,0,0
fr,fasciculus retroflexus,0,0,0
fx,columns of the fornix,0,4,0
fxpo,postcommissural fornix,0,0,0
fxprg,"precommissural fornix, general",0,0,0
fxs,fornix system,0,0,0
gVIIn,genu of the facial nerve,0,0,0
grey,Basic cell groups and regions,0,0,0
grf,gracile fascicle,0,0,0
grv,grooves,0,0,0
grv of CBX,grooves of the cerebellar cortex,0,0,0
grv of CTX,grooves of the cerebral cortex,0,0,0
hbc,habenular commissure,0,0,0
hc,hippocampal commissures,0,0,0
hf,hippocampal fissure,0,0,0
hht,hypothalamohypophysial tract,0,0,0
iVIIn,intermediate nerve,0,0,0
iaf,internal arcuate fibers,0,0,0
ias,intermediate acoustic stria,0,0,0
icf,intercrural fissure,0,0,0
icp,inferior cerebellar peduncle,0,0,0
im,internal medullary lamina of the thalamus,0,0,0
int,internal capsule,19,16,0
ipf,intraparafloccular fissure,0,0,0
isl,Islands of Calleja,0,0,0
islm,Major island of Calleja,0,0,0
jrb,juxtarestiform body,0,0,0
lab,longitudinal association bundle,0,0,0
lfbs,lateral forebrain bundle system,0,0,0
lfbst,thalamus related,0,0,0
ll,lateral lemniscus,0,0,0
lot,"lateral olfactory tract, body",0,0,1
lotd,dorsal limb,0,0,0
lotg,"lateral olfactory tract, general",0,0,0
mcp,middle cerebellar peduncle,0,0,0
mct,medial corticohypothalamic tract,0,0,0
mfb,medial forebrain bundle,0,0,2
mfbc,cerebrum related,0,0,0
mfbs,medial forebrain bundle system,0,0,0
mfbse,epithalamus related,0,0,0
mfbsm,midbrain related,0,0,0
mfbsma,mammillary related,0,0,0
mfbst,dorsal thalamus related,0,0,0
mfsbshy,hypothalamus related,0,0,0
ml,medial lemniscus,0,0,0
mlf,medial longitudinal fascicle,0,0,0
moV,motor root of the trigeminal nerve,0,0,0
mp,mammillary peduncle,0,0,0
mtV,midbrain tract of the trigeminal nerve,0,0,0
mtc,middle thalamic commissure,0,0,0
mtg,mammillotegmental tract,0,0,0
mtt,mammillothalamic tract,0,1,0
nf,nodular fissure,0,0,0
nst,nigrostriatal tract,0,1,0
ntt,nigrothalamic fibers,0,0,0
och,optic chiasm,0,0,0
oct,olivocerebellar tract,0,0,0
opt,optic tract,0,9,0
or,optic radiation,2,1,0
pap,pallidothalamic pathway,0,0,0
pc,posterior commissure,0,0,0
pce,precentral fissure,0,0,0
pcf,preculminate fissure,0,0,0
per,perforant path,0,0,0
pfs,parafloccular sulcus,0,0,0
php,propriohypothalamic pathways,0,0,0
phpd,"propriohypothalamic pathways, dorsal",0,0,0
phpl,"propriohypothalamic pathways, lateral",0,0,0
phpm,"propriohypothalamic pathways, medial",0,0,0
phpv,"propriohypothalamic pathways, ventral",0,0,0
plf,posterolateral fissure,0,0,0
pm,principal mammillary tract,0,0,0
pms,paramedian sulcus,0,0,0
pmx,premammillary commissure,0,0,0
poc,preoptic commissure,0,0,0
ppf,prepyramidal fissure,0,0,0
pri,primary fissure,0,0,0
psf,posterior superior fissure,0,0,0
ptf,pallidotegmental fascicle,0,0,0
pvbh,periventricular bundle of the hypothalamus,0,0,0
pvbt,periventricular bundle of the thalamus,0,0,0
py,pyramid,0,0,0
pyd,pyramidal decussation,0,0,0
rct,reticulocerebellar tract,0,0,0
retina,retina,0,0,0
rf,rhinal fissure,0,0,0
ri,rhinal incisure,0,0,0
root,root,3,7,8
rrt,rubroreticular tract,0,0,0
rst,retriculospinal tract,0,0,0
rstl,"retriculospinal tract, lateral part",0,0,0
rstm,"retriculospinal tract, medial part",0,0,0
rust,rubrospinal tract,0,0,0
sAMY,Striatum-like amygdalar nuclei,0,0,0
sV,sensory root of the trigeminal nerve,0,0,0
scp,superior cerebelar peduncles,0,0,0
scrt,spinocervical tract,0,0,0
sct,spinocerebellar tract,0,0,0
sctd,dorsal spinocerebellar tract,0,0,0
sctv,ventral spinocerebellar tract,0,0,0
scwm,supra-callosal cerebral white matter,144,30,3
sec,secondary fissure,0,0,0
shp,spinohypothalamic pathway,0,0,0
sif,simple fissure,0,0,0
sm,stria medullaris,0,2,0
smd,supramammillary decussation,0,0,0
snp,striatonigral pathway,0,0,0
sop,spino-olivary pathway,0,0,0
sptV,spinal tract of the trigeminal nerve,0,0,0
srp,spinoreticular pathway,0,0,0
sst,spinothalamic tract,0,0,0
st,stria terminalis,1,1,0
stc,commissural branch of stria terminalis,0,2,0
step,spinotelenchephalic pathway,0,0,0
stf,subthalamic fascicle,0,0,0
stp,spinotectal pathway,0,0,0
sttl,lateral spinothalamic tract,0,0,0
sttv,ventral spinothalamic tract,0,0,0
sup,supraoptic commissures,0,0,0
supa,"supraoptic commissures, anterior",0,0,0
supd,"supraoptic commissures, dorsal",0,0,0
supv,"supraoptic commissures, ventral",0,0,0
svp,spinovestibular pathway,0,0,0
tb,trapezoid body,0,0,0
tct,trigeminocerebellar tract,0,0,0
tn,terminal nerve,0,0,0
tp,thalamic peduncles,0,0,0
ts,solitary tract,0,0,0
tsp,tectospinal pathway,0,0,0
tspc,crossed tectospinal pathway,0,0,0
tspd,direct tectospinal pathway,0,0,0
ttp,tectothalamic pathway,0,0,0
uf,uncinate fascicle,0,0,0
vVIIIn,vestibular nerve,0,0,0
vc,ventral commissure of the spinal cord,0,0,0
vhc,ventral hippocampal commissure,0,2,0
vlt,ventrolateral hypothalamic tract,0,0,0
von,vomeronasal nerve,0,0,0
vrt,ventral roots,0,0,0
vsp,vestibulospinal pathway,0,0,0
vtd,ventral tegmental decussation,0,0,0
x,Nucleus x,0,0,0
y,Nucleus y,0,0,0
z,Nucleus z,0,0,0